"","sample","Sdiv_ptg000009l_0614-R","Sdiv_ptg000010l_2315-R","Pop","Vern","group"
"1","bhr.02_i0",5.74931360974149,4.27597055924422,"bhr","i0","i0_bhr"
"2","bhr.02_i1",5.30560704369403,4.54227073127774,"bhr","i1","i1_bhr"
"3","bhr.02_i2",4.79189547100475,3.94457954245175,"bhr","i2","i2_bhr"
"4","bhr.02_v0",5.16840051840554,3.50362051992322,"bhr","v0","v0_bhr"
"5","bhr.02_v1",4.12967683331086,3.92932566908815,"bhr","v1","v1_bhr"
"6","bhr.02_v2",2.12410917185031,3.60293872807348,"bhr","v2","v2_bhr"
"7","bhr.06_i0",5.50226147125708,4.69394823288561,"bhr","i0","i0_bhr"
"8","bhr.06_i1",5.67277603738877,4.91648741945057,"bhr","i1","i1_bhr"
"9","bhr.06_i2",4.3735449931503,4.17804745400084,"bhr","i2","i2_bhr"
"10","bhr.06_v0",5.51089611276717,4.13167723874089,"bhr","v0","v0_bhr"
"11","bhr.06_v1",4.25650397142514,4.09106007939764,"bhr","v1","v1_bhr"
"12","bhr.06_v2",2.39972227160329,2.88879204771744,"bhr","v2","v2_bhr"
"13","bhr.08_i0",5.18184737824641,4.97097689757097,"bhr","i0","i0_bhr"
"14","bhr.08_i1",5.38235605540949,4.88328651694983,"bhr","i1","i1_bhr"
"15","bhr.08_i2",3.74522937184696,4.31837699229234,"bhr","i2","i2_bhr"
"16","bhr.08_v0",5.37040192072074,3.642754670966,"bhr","v0","v0_bhr"
"17","bhr.08_v1",4.7482080243602,3.76190987620484,"bhr","v1","v1_bhr"
"18","bhr.08_v2",2.66961951487598,3.9675767049051,"bhr","v2","v2_bhr"
"19","bhr.14_i0",5.36664793342601,4.51545135062957,"bhr","i0","i0_bhr"
"20","bhr.14_i1",5.77129776523378,4.64670512334224,"bhr","i1","i1_bhr"
"21","bhr.14_i2",6.15031211202399,4.65961812492818,"bhr","i2","i2_bhr"
"22","bhr.14_v0",5.45104575580668,3.97538466514946,"bhr","v0","v0_bhr"
"23","bhr.14_v1",4.72543601331591,4.2404270269126,"bhr","v1","v1_bhr"
"24","bhr.14_v2",3.91853059476109,4.31600958411814,"bhr","v2","v2_bhr"
"25","bhr.18_i0",5.74701910583495,5.15663312453049,"bhr","i0","i0_bhr"
"26","bhr.18_i1",5.33757840535595,4.84328014734776,"bhr","i1","i1_bhr"
"27","bhr.18_i2",4.39103709517823,4.64581609434539,"bhr","i2","i2_bhr"
"28","bhr.18_v0",4.92276628185189,4.36179505427153,"bhr","v0","v0_bhr"
"29","bhr.18_v1",4.16419534011508,4.75476068440552,"bhr","v1","v1_bhr"
"30","bhr.18_v2",2.69578258001166,3.62970248260009,"bhr","v2","v2_bhr"
"31","ihl.21_i0",5.64887072613233,4.75533776754735,"ihl","i0","i0_ihl"
"32","ihl.21_i1",5.58196253479095,5.01358715163281,"ihl","i1","i1_ihl"
"33","ihl.21_v0",5.52362899314235,3.82382350014131,"ihl","v0","v0_ihl"
"34","ihl.21_v1",4.7872978052022,4.52694064703568,"ihl","v1","v1_ihl"
"35","ihl.27_i0",5.23638112632103,4.74468393408958,"ihl","i0","i0_ihl"
"36","ihl.27_i1",3.59899203056706,4.66914604954964,"ihl","i1","i1_ihl"
"37","ihl.27_i2",4.12555169234359,2.57076807936807,"ihl","i2","i2_ihl"
"38","ihl.27_v0",5.39511218281839,4.02831297142864,"ihl","v0","v0_ihl"
"39","ihl.27_v1",3.88734424340608,4.72493039697508,"ihl","v1","v1_ihl"
"40","ihl.27_v2",2.46628440120095,3.37602534923735,"ihl","v2","v2_ihl"
"41","ihl.29_i0",5.27379748661802,4.49068689106027,"ihl","i0","i0_ihl"
"42","ihl.29_i2",1.84669805580531,2.1158931841862,"ihl","i2","i2_ihl"
"43","ihl.29_v0",5.04351206450403,3.65627597739044,"ihl","v0","v0_ihl"
"44","ihl.29_v1",4.3688797400717,4.3688797400717,"ihl","v1","v1_ihl"
"45","ihl.29_v2",0.575406033084505,1.74842794886458,"ihl","v2","v2_ihl"
"46","ihl.30_i0",5.30869635764142,4.47985205884585,"ihl","i0","i0_ihl"
"47","ihl.30_i1",4.10442821467817,4.35295046471973,"ihl","i1","i1_ihl"
"48","ihl.30_i2",1.2176745433186,3.64649291019162,"ihl","i2","i2_ihl"
"49","ihl.30_v0",4.90496666773503,3.6767591178608,"ihl","v0","v0_ihl"
"50","ihl.30_v1",3.21539808284198,4.41948794285861,"ihl","v1","v1_ihl"
"51","ihl.30_v2",1.19166930113146,2.14784527298773,"ihl","v2","v2_ihl"
"52","kc2.06_i0",5.08566361653688,4.42262756286224,"kc2","i0","i0_kc2"
"53","kc2.06_i1",5.18210021382665,5.20868328614974,"kc2","i1","i1_kc2"
"54","kc2.06_v0",5.38192807896866,3.38565344950346,"kc2","v0","v0_kc2"
"55","kc2.06_v1",4.72708987431106,4.19551191822192,"kc2","v1","v1_kc2"
"56","kc2.08_i0",5.17719449787773,4.38251226323751,"kc2","i0","i0_kc2"
"57","kc2.08_i1",4.17551804733559,4.40321181402984,"kc2","i1","i1_kc2"
"58","kc2.08_v0",5.02484834241188,3.17940987526202,"kc2","v0","v0_kc2"
"59","kc2.08_v1",4.85006979337035,3.90705500506553,"kc2","v1","v1_kc2"
"60","kc2.10_i0",5.42756354228225,4.24501316959136,"kc2","i0","i0_kc2"
"61","kc2.10_i1",5.68781439771724,4.71278475476709,"kc2","i1","i1_kc2"
"62","kc2.10_i2",5.43845992587819,3.99007949656951,"kc2","i2","i2_kc2"
"63","kc2.10_v0",5.64102524301892,4.20442225825916,"kc2","v0","v0_kc2"
"64","kc2.10_v1",4.87960845135649,4.82055964078396,"kc2","v1","v1_kc2"
"65","kc2.10_v2",5.68399902342998,3.44174884325084,"kc2","v2","v2_kc2"
"66","kc2.13_i0",6.01414767555653,5.09770678481801,"kc2","i0","i0_kc2"
