"Population","Down","NotSig","Up","Comparison","Elevation"
"bhr",298,29088,597,"vo_vs_v1","low"
"ihl",203,28977,803,"vo_vs_v1","low"
"kc",282,28978,723,"vo_vs_v1","low"
"lv",203,28458,1322,"vo_vs_v1","high"
"sq",637,29302,44,"vo_vs_v1","high"
"tm",1521,27924,538,"vo_vs_v1","low"
"wl",112,29533,338,"vo_vs_v1","high"
"yo",270,29373,340,"vo_vs_v1","high"
"bhr",530,28489,964,"vo_vs_v2","low"
"ihl",368,28630,985,"vo_vs_v2","low"
"kc",105,29197,681,"vo_vs_v2","low"
"lv",1081,27785,1117,"vo_vs_v2","high"
"sq",707,29161,115,"vo_vs_v2","high"
"tm",35,29708,240,"vo_vs_v2","low"
"wl",223,29277,483,"vo_vs_v2","high"
"yo",126,29297,560,"vo_vs_v2","high"
"bhr",468,29029,486,"v1_vs_v2","low"
"ihl",374,29304,305,"v1_vs_v2","low"
"kc",19,29778,186,"v1_vs_v2","low"
"lv",1220,28555,208,"v1_vs_v2","high"
"sq",195,29605,183,"v1_vs_v2","high"
"tm",0,29940,43,"v1_vs_v2","low"
"wl",108,29689,186,"v1_vs_v2","high"
"yo",87,29465,431,"v1_vs_v2","high"
